State,Year,Quarter,Level,Name,Registered Users
Andaman & Nicobar,2018,1,District,south andaman,5846
Andaman & Nicobar,2018,1,District,north and middle andaman,632
Andaman & Nicobar,2018,1,District,nicobars,262
Andaman & Nicobar,2018,1,Pincode,744103,262
Andaman & Nicobar,2018,1,Pincode,744101,262
Andaman & Nicobar,2018,1,Pincode,744105,262
Andaman & Nicobar,2018,1,Pincode,744102,262
Andaman & Nicobar,2018,1,Pincode,744104,262
Andaman & Nicobar,2018,1,Pincode,744202,262
Andaman & Nicobar,2018,1,Pincode,744112,262
Andaman & Nicobar,2018,1,Pincode,744301,262
Andaman & Nicobar,2018,1,Pincode,744107,262
Andaman & Nicobar,2018,1,Pincode,744211,262
Andaman & Nicobar,2018,2,District,south andaman,8143
Andaman & Nicobar,2018,2,District,north and middle andaman,911
Andaman & Nicobar,2018,2,District,nicobars,351
Andaman & Nicobar,2018,2,Pincode,744103,351
Andaman & Nicobar,2018,2,Pincode,744101,351
Andaman & Nicobar,2018,2,Pincode,744105,351
Andaman & Nicobar,2018,2,Pincode,744102,351
Andaman & Nicobar,2018,2,Pincode,744104,351
Andaman & Nicobar,2018,2,Pincode,744202,351
Andaman & Nicobar,2018,2,Pincode,744112,351
Andaman & Nicobar,2018,2,Pincode,744107,351
Andaman & Nicobar,2018,2,Pincode,744301,351
Andaman & Nicobar,2018,2,Pincode,744211,351
Andaman & Nicobar,2018,3,District,south andaman,10474
Andaman & Nicobar,2018,3,District,north and middle andaman,1208
Andaman & Nicobar,2018,3,District,nicobars,467
Andaman & Nicobar,2018,3,Pincode,744103,467
Andaman & Nicobar,2018,3,Pincode,744101,467
Andaman & Nicobar,2018,3,Pincode,744105,467
Andaman & Nicobar,2018,3,Pincode,744102,467
Andaman & Nicobar,2018,3,Pincode,744104,467
Andaman & Nicobar,2018,3,Pincode,744202,467
Andaman & Nicobar,2018,3,Pincode,744112,467
Andaman & Nicobar,2018,3,Pincode,744107,467
Andaman & Nicobar,2018,3,Pincode,744301,467
Andaman & Nicobar,2018,3,Pincode,744211,467
Andaman & Nicobar,2018,4,District,south andaman,13133
Andaman & Nicobar,2018,4,District,north and middle andaman,1553
Andaman & Nicobar,2018,4,District,nicobars,536
Andaman & Nicobar,2018,4,Pincode,744103,536
Andaman & Nicobar,2018,4,Pincode,744101,536
Andaman & Nicobar,2018,4,Pincode,744105,536
Andaman & Nicobar,2018,4,Pincode,744102,536
Andaman & Nicobar,2018,4,Pincode,744104,536
Andaman & Nicobar,2018,4,Pincode,744202,536
Andaman & Nicobar,2018,4,Pincode,744107,536
Andaman & Nicobar,2018,4,Pincode,744112,536
Andaman & Nicobar,2018,4,Pincode,744211,536
Andaman & Nicobar,2018,4,Pincode,744301,536
Andaman & Nicobar,2019,1,District,south andaman,15961
Andaman & Nicobar,2019,1,District,north and middle andaman,2013
Andaman & Nicobar,2019,1,District,nicobars,622
Andaman & Nicobar,2019,1,Pincode,744103,622
Andaman & Nicobar,2019,1,Pincode,744101,622
Andaman & Nicobar,2019,1,Pincode,744105,622
Andaman & Nicobar,2019,1,Pincode,744102,622
Andaman & Nicobar,2019,1,Pincode,744104,622
Andaman & Nicobar,2019,1,Pincode,744202,622
Andaman & Nicobar,2019,1,Pincode,744107,622
Andaman & Nicobar,2019,1,Pincode,744112,622
